form_number,revision,title,statute,published,filename,size_bytes,status,pdf_url,detail_url
AOC-CR-909,,Magistrate's Order For Fugitive,15A-734,"October 1, 1997",AOC-CR-909 - Magistrate's Order For Fugitive.pdf,163146,downloaded,https://www.nccourts.gov/assets/documents/forms/cr909_0.pdf?VersionId=uqyJ3wD40QmWt83KXcmtct.bEcu8aBaR,https://www.nccourts.gov/documents/forms/magistrates-order-for-fugitive
AOC-CR-301,,Phán Quyết Và Lệnh Giam Tù,15A-1301,"December 1, 2014",AOC-CR-301 - Phán Quyết Và Lệnh Giam Tù.pdf,281976,downloaded,https://www.nccourts.gov/assets/documents/forms/cr301_0.pdf?VersionId=PyZDCPTmTNrmFqayx8nVQX3_iAk8XhXf,https://www.nccourts.gov/documents/forms/judgment-and-commitment
AOC-CR-317,,Do Không Hoàn Thành Điều Kiện Phục Vụ Cộng Đồn; Thu Hồi Giấy Phép Sau Khi Lệnh Quản Chế Đại Hình Bị Hủy Bỏ,143B-708,"August 1, 2012",AOC-CR-317 - Do Không Hoàn Thành Điều Kiện Phục Vụ Cộng Đồn; Thu Hồi Giấy Phép Sau Khi Lệnh Quản Chế Đại Hình Bị Hủy Bỏ.pdf,212021,downloaded,https://www.nccourts.gov/assets/documents/forms/cr317.pdf?VersionId=S3gKJAu_kyDTzqIEIjh7iqLoJ2kTAcex,https://www.nccourts.gov/documents/forms/forfeiture-of-drivers-license-failure-to-complete-community-service-forfeiture-of-licensing-privileges-felony-probation-revocation
AOC-CR-906,,Order Providing Credit Against Service Of Sentence,Chapter 15 Article 19A,"October 1, 1997",AOC-CR-906 - Order Providing Credit Against Service Of Sentence.pdf,151223,downloaded,https://www.nccourts.gov/assets/documents/forms/cr906.pdf?VersionId=zxHDDnQFzly5GOeDw.Si5cte3inbBDan,https://www.nccourts.gov/documents/forms/order-providing-credit-against-service-of-sentence
AOC-CR-902M,,Notice Of Intention To Introduce Evidence At Trial,15A-975(b),"July 1, 2001",AOC-CR-902M - Notice Of Intention To Introduce Evidence At Trial.pdf,51247,downloaded,https://www.nccourts.gov/assets/documents/forms/cr902m-en.pdf?VersionId=.OdP5OX4duY8xmY85.Ams_5CQGcud22p,https://www.nccourts.gov/documents/forms/notice-of-intention-to-introduce-evidence-at-trial
AOC-CR-270,,Giam Giữ Người Lái Xe Trong Tình Trạng Không Tỉnh Táo; Giam Giữ Để Xét Nghiệm Bệnh Truyền Nhiễm,"15A-534.2,20-38.4","April 1, 2014",AOC-CR-270 - Giam Giữ Người Lái Xe Trong Tình Trạng Không Tỉnh Táo; Giam Giữ Để Xét Nghiệm Bệnh Truyền Nhiễm.pdf,204981,downloaded,https://www.nccourts.gov/assets/documents/forms/cr270-en.pdf?VersionId=cGC0H1fj1ImD4gBDpyqE2D9HcwcFXqlo,https://www.nccourts.gov/documents/forms/detention-of-impaired-driver-detention-for-communicable-disease-testing
AOC-CR-201,,Giấy Cam Kết Ra Hầu Tòa Để Được Tại Ngoại Chờ Xử,"15A-531, 15A-534, 15A-544.2","April 19, 2018",AOC-CR-201 - Giấy Cam Kết Ra Hầu Tòa Để Được Tại Ngoại Chờ Xử.pdf,340462,downloaded,https://www.nccourts.gov/assets/documents/forms/cr201_0.pdf?VersionId=Fh7.ldHyf0tXvu.iM._VIXlQUsIUOtk3,https://www.nccourts.gov/documents/forms/appearance-bond-for-pretrial-release
AOC-CR-901M,,Certificate For Attendance Of Out-Of-State Witness,15A-813,"March 1, 2015",AOC-CR-901M - Certificate For Attendance Of Out-Of-State Witness.pdf,423378,downloaded,https://www.nccourts.gov/assets/documents/forms/cr901m-en.pdf?VersionId=4DjeAElkckzrBFLLdAPLVwtZExmBMJ.U,https://www.nccourts.gov/documents/forms/certificate-for-attendance-of-out-of-state-witness
AOC-CR-900,,Prosecutor's Request For Temporary Custody Of Defendant For Trial,15A-711(a),"June 1, 2012",AOC-CR-900 - Prosecutor's Request For Temporary Custody Of Defendant For Trial.pdf,196636,downloaded,https://www.nccourts.gov/assets/documents/forms/cr900_2.pdf?VersionId=NhsXnY0GGeVNQ3QoxTyKz1ezsjcp8bzt,https://www.nccourts.gov/documents/forms/prosecutors-request-for-temporary-custody-of-defendant-for-trial
AOC-CR-624,,Lệnh Chỉ Định Luật Sư Của Phòng Dịch Vụ Biện Hộ Cho Người Nghèo Cho Vụ Án Cố Sát Bậc Một (Hoặc Cố Sát Chưa Phân Cấp) Ở Tòa Án Sơ,"7A-451(c),7A-451(d),7A-452","September 1, 2002",AOC-CR-624 - Lệnh Chỉ Định Luật Sư Của Phòng Dịch Vụ Biện Hộ Cho Người Nghèo Cho Vụ Án Cố Sát Bậc Một (Hoặc Cố Sát Chưa Phân Cấp) Ở T.pdf,196236,downloaded,https://www.nccourts.gov/assets/documents/forms/cr624.pdf?VersionId=02QrBbR3wxXXry938GBIF5Qau8bpLfkh,https://www.nccourts.gov/documents/forms/assignment-of-counsel-by-office-of-indigent-defense-services-in-first-degree-murder-or-undesignated-degree-of-murder-cases-at-the-trial-level
